pair,pop1.id,pop2.id,fst,mean_bray.AMF,mean_bray.ITS,mean_bray.16S,km.diff
B1-B1,B1,B1,0,0.0388670069798886,0.32814756717437527,0.23989235545642712,0
B1-B2,B1,B2,0.258282,0.05050734330666302,0.3634284927826534,0.2684503049554944,31.2
B1-F1,B1,F1,0.543824,0.03659947678824337,0.3566574259554597,0.3317362246292513,1.9
B1-F2,B1,F2,0.261133,0.03770628656080203,0.3053528242552509,0.27226671632718535,2.3
B1-R1,B1,R1,0.601512,0.04925965072197746,0.31811648628395045,0.43738615382635976,9.2
B1-R2,B1,R2,0.479374,0.06406313004344083,0.2908276775107942,0.2682546065526603,24.2
B1-U1,B1,U1,0.402356,0.05328412418283947,0.370839936345706,0.25102210642313333,10.2
B1-U2,B1,U2,0.408897,0.04461030281985342,0.3454372583890503,0.2642719713705663,11.9
B2-B1,B2,B1,0.258282,0.05050734330666302,0.3634284927826534,0.2684503049554944,31.2
B2-B2,B2,B2,0,0.04902235989281856,0.3036113093767289,0.23469784615812103,0
B2-F1,B2,F1,0.515139,0.05382155982230289,0.41612331777722344,0.38336731478163877,30.2
B2-F2,B2,F2,0.265697,0.04830974489743705,0.33866493180707163,0.32098546833646696,33.5
B2-R1,B2,R1,0.568833,0.056842412529508904,0.38960892417376997,0.5237603995283291,40.3
B2-R2,B2,R2,0.428686,0.07273394982665755,0.3618048414950937,0.30968846113123266,45.5
B2-U1,B2,U1,0.378396,0.057699814111390926,0.3219525888211649,0.2567639594642151,37.9
B2-U2,B2,U2,0.383128,0.06185270667347846,0.3548894079439701,0.2731305108568986,22.4
F1-B1,F1,B1,0.543824,0.03659947678824337,0.3566574259554597,0.3317362246292513,1.9
F1-B2,F1,B2,0.515139,0.05382155982230289,0.41612331777722344,0.38336731478163877,30.2
F1-F1,F1,F1,0,0.025081390407306822,0.3110366515809735,0.2684231577958827,0
F1-F2,F1,F2,0.448256,0.03260664214488369,0.3067304438034347,0.24164984859133343,3.9
F1-R1,F1,R1,0.598703,0.04577243129127446,0.3055813820389254,0.3976537236026329,10.8
F1-R2,F1,R2,0.531914,0.059618863999352616,0.2792373016476469,0.24596433379967758,3.8
F1-U1,F1,U1,0.459241,0.05226495160899108,0.4308242665166229,0.2991171005019173,9.7
F1-U2,F1,U2,0.537825,0.03486398214370577,0.3688861281067931,0.31295540716347603,11.9
F2-B1,F2,B1,0.261133,0.03770628656080203,0.3053528242552509,0.27226671632718535,2.3
F2-B2,F2,B2,0.265697,0.04830974489743705,0.33866493180707163,0.32098546833646696,33.5
F2-F1,F2,F1,0.448256,0.03260664214488369,0.3067304438034347,0.24164984859133343,3.9
F2-F2,F2,F2,0,0.03273847606032166,0.24280988687002433,0.15828594630224477,0
F2-R1,F2,R1,0.396295,0.04541462879275741,0.26932324110183836,0.40638975021854024,7
F2-R2,F2,R2,0.301497,0.06260520196468293,0.24452155549966986,0.17361476280762003,24
F2-U1,F2,U1,0.22885,0.051139142506841026,0.34653299960160105,0.2269519429346707,9.6
F2-U2,F2,U2,0.387089,0.041753431065324684,0.30882203179488027,0.2532236548011351,13.4
R1-B1,R1,B1,0.601512,0.04925965072197746,0.31811648628395045,0.43738615382635976,9.2
R1-B2,R1,B2,0.568833,0.056842412529508904,0.38960892417376997,0.5237603995283291,40.3
R1-F1,R1,F1,0.598703,0.04577243129127446,0.3055813820389254,0.3976537236026329,10.8
R1-F2,R1,F2,0.396295,0.04541462879275741,0.26932324110183836,0.40638975021854024,7
R1-R1,R1,R1,0,0.05469589414065095,0.23842234544055543,0.23302641653666337,0
R1-R2,R1,R2,0.422658,0.0713112844808204,0.23621911337980567,0.4271655908671236,25.1
R1-U1,R1,U1,0.419481,0.0599766191959795,0.4008175778088692,0.4881721593647657,11.2
R1-U2,R1,U2,0.643139,0.05394743404602032,0.32717476088812936,0.44744241098582627,19.3
R2-B1,R2,B1,0.479374,0.06406313004344083,0.2908276775107942,0.2682546065526603,24.2
R2-B2,R2,B2,0.428686,0.07273394982665755,0.3618048414950937,0.30968846113123266,45.5
R2-F1,R2,F1,0.531914,0.059618863999352616,0.2792373016476469,0.24596433379967758,3.8
R2-F2,R2,F2,0.301497,0.06260520196468293,0.24452155549966986,0.17361476280762003,24
R2-R1,R2,R1,0.422658,0.0713112844808204,0.23621911337980567,0.4271655908671236,25.1
R2-R2,R2,R2,0,0.07897903251084837,0.19514707691073988,0.1604806236184682,0
R2-U1,R2,U1,0.321251,0.0735006085642658,0.37309377420008755,0.2247278572345305,14.6
R2-U2,R2,U2,0.521712,0.06564214959948218,0.3113302566524241,0.256817418017321,34.5
U1-B1,U1,B1,0.402356,0.05328412418283947,0.370839936345706,0.25102210642313333,10.2
U1-B2,U1,B2,0.378396,0.057699814111390926,0.3219525888211649,0.2567639594642151,37.9
U1-F1,U1,F1,0.459241,0.05226495160899108,0.4308242665166229,0.2991171005019173,9.7
U1-F2,U1,F2,0.22885,0.051139142506841026,0.34653299960160105,0.2269519429346707,9.6
U1-R1,U1,R1,0.419481,0.0599766191959795,0.4008175778088692,0.4881721593647657,11.2
U1-R2,U1,R2,0.321251,0.0735006085642658,0.37309377420008755,0.2247278572345305,14.6
U1-U1,U1,U1,0,0.06103751705393774,0.2912670180317402,0.16979554759978768,0
U1-U2,U1,U2,0.471687,0.05890413592568134,0.3471690086767586,0.21514719960092177,21.7
U2-B1,U2,B1,0.408897,0.04461030281985342,0.3454372583890503,0.2642719713705663,11.9
U2-B2,U2,B2,0.383128,0.06185270667347846,0.3548894079439701,0.2731305108568986,22.4
U2-F1,U2,F1,0.537825,0.03486398214370577,0.3688861281067931,0.31295540716347603,11.9
U2-F2,U2,F2,0.387089,0.041753431065324684,0.30882203179488027,0.2532236548011351,13.4
U2-R1,U2,R1,0.643139,0.05394743404602032,0.32717476088812936,0.44744241098582627,19.3
U2-R2,U2,R2,0.521712,0.06564214959948218,0.3113302566524241,0.256817418017321,34.5
U2-U1,U2,U1,0.471687,0.05890413592568134,0.3471690086767586,0.21514719960092177,21.7
U2-U2,U2,U2,0,0.03920321705029264,0.29300199346377,0.22511235778366517,0
